season,geography,week,target,predicted_value,predicted_per_100k
2026/2027,North,1,cases,40452.293649404,31.644848473932942
2026/2027,North,1,hospitalizations,603.8828419895,0.472402904922729
2026/2027,North,1,deaths,73.058362603,0.0571517856159843
2026/2027,North,2,cases,9617.7044079925,7.523696957600912
2026/2027,North,2,hospitalizations,141.697955032,0.1108468744669035
2026/2027,North,2,deaths,12.6062259475,0.0098615448951848
2026/2027,North,3,cases,11618.4437341145,9.088826820438792
2026/2027,North,3,hospitalizations,139.82402269850002,0.1093809426397008
2026/2027,North,3,deaths,19.1390792775,0.0149720376529502
2026/2027,North,4,cases,12047.987780249,9.424848712562248
2026/2027,North,4,hospitalizations,129.055210519,0.1009567619833947
2026/2027,North,4,deaths,17.6372036675,0.0137971567792709
2026/2027,North,5,cases,10601.8174047865,8.293544693175061
2026/2027,North,5,hospitalizations,182.07452512,0.1424324862348216
2026/2027,North,5,deaths,13.060596525,0.0102169879808258
2026/2027,North,6,cases,11279.791447864502,8.823907348217716
2026/2027,North,6,hospitalizations,151.8737007525,0.1188071136124343
2026/2027,North,6,deaths,16.869314653,0.0131964558222558
2026/2027,North,7,cases,11962.516161406002,9.357986337574316
2026/2027,North,7,hospitalizations,169.73356850550002,0.132778455106849
2026/2027,North,7,deaths,18.974591058,0.0148433625071862
2026/2027,North,8,cases,10981.6680394035,8.590692634386038
2026/2027,North,8,hospitalizations,151.726366215,0.1186918573761731
2026/2027,North,8,deaths,19.603938344,0.0153356856292212
2026/2027,North,9,cases,13091.660397803002,10.24128849531301
2026/2027,North,9,hospitalizations,209.1612418155,0.1636217679332668
2026/2027,North,9,deaths,20.941082747000003,0.0163817012739071
2026/2027,North,10,cases,16706.2366418765,13.06888384831146
2026/2027,North,10,hospitalizations,250.1527468235,0.1956884283787552
2026/2027,North,10,deaths,25.2957651765,0.0197882637503875
2026/2027,North,11,cases,25878.554930866,20.244166044307114
2026/2027,North,11,hospitalizations,406.1323165655,0.3177074637465449
2026/2027,North,11,deaths,41.7854886855,0.0326877746246502
2026/2027,North,12,cases,52379.712113565,40.97537873396743
2026/2027,North,12,hospitalizations,867.311520291,0.6784767725948089
2026/2027,North,12,deaths,86.9184514935,0.0679941970890252
2026/2027,North,13,cases,135853.3064841105,106.27474762326086
2026/2027,North,13,hospitalizations,2125.7502224925,1.6629228559255134
2026/2027,North,13,deaths,274.95710909400003,0.2150922795508401
2026/2027,North,14,cases,448407.9679349105,350.77868075382884
2026/2027,North,14,hospitalizations,6305.577218600501,4.9327001665883605
2026/2027,North,14,deaths,595.137404061,0.4655615608821633
2026/2027,North,15,cases,978642.3646670516,765.5681927078207
2026/2027,North,15,hospitalizations,13597.8546210695,10.637271962467649
2026/2027,North,15,deaths,1421.978555295,1.112379345049952
2026/2027,North,16,cases,1723898.2347500324,1348.5637896319631
2026/2027,North,16,hospitalizations,23831.0311554155,18.642437841143515
2026/2027,North,16,deaths,2751.292928282,2.152269747111605
2026/2027,North,17,cases,2134912.4095457685,1670.0902127014565
2026/2027,North,17,hospitalizations,28608.323592934503,22.37959787985944
2026/2027,North,17,deaths,3558.7922587400003,2.7839568938680466
2026/2027,North,18,cases,1970734.6509069551,1541.6579329414255
2026/2027,North,18,hospitalizations,23779.092540497502,18.601807522050343
2026/2027,North,18,deaths,3110.3176304315,2.4331260663202743
2026/2027,North,19,cases,1230334.768502702,962.4610574350706
2026/2027,North,19,hospitalizations,14234.624363322,11.135401492056449
2026/2027,North,19,deaths,1788.312265036,1.398953323675722
2026/2027,North,20,cases,395045.78211909306,309.0347366646591
2026/2027,North,20,hospitalizations,5497.713576279501,4.300728027494975
2026/2027,North,20,deaths,755.240660743,0.5908064565559523
2026/2027,North,21,cases,101934.647295046,79.74100296641781
2026/2027,North,21,hospitalizations,1442.4401672345,1.128385967936895
2026/2027,North,21,deaths,171.6582732525,0.1342841049620525
2026/2027,North,22,cases,50704.82667166801,39.66515646376971
2026/2027,North,22,hospitalizations,584.6447920065,0.4573534448866119
2026/2027,North,22,deaths,78.674776123,0.0615453697313307
2026/2027,North,23,cases,54770.154597924,42.84536392834977
2026/2027,North,23,hospitalizations,772.847713991,0.6045800273931065
2026/2027,North,23,deaths,92.323720492,0.0722226079648297
2026/2027,North,24,cases,101956.641435659,79.75820844932676
2026/2027,North,24,hospitalizations,1645.3230975165,1.2870963649879157
2026/2027,North,24,deaths,175.117778354,0.1369903919202304
2026/2027,North,25,cases,207880.586413573,162.61994226442985
2026/2027,North,25,hospitalizations,2929.581121377,2.291740277610577
2026/2027,North,25,deaths,370.1870963095,0.2895883895051261
2026/2027,North,26,cases,412251.675952509,322.49449021870873
2026/2027,North,26,hospitalizations,5485.5981152635,4.29125039610611
2026/2027,North,26,deaths,721.0571106655,0.5640654941799036
